,Model Name,Price,Discount,Avg Rating,Rating Count,Review Count,Memory Details,Screen Dimention,Lens Detail,Battery Capacity,Processor,Warranty
266,"Vivo V15 Pro (Topaz Blue, 128 GB)",21499.0,38% off,4.5,"2,679 Ratings ", 235 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.23 cm (6.39 inch) Full HD+ Display,"48 Million Quad Pixel Sensor (12 Million Effective Pixel) + 8MP + 5MP, AI Triple Rear Camera | 32MP Front Camera",3700 mAh Li-ion Battery,Qualcomm Snapdragon 675AIE Octa Core 2.0GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
267,"OPPO Reno 10x Zoom (Jet Black, 128 GB)",36990.0,11% off,4.5,"3,726 Ratings ", 720 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Display,48MP + 13MP + 8MP | 16MP Front Camera,4065 mAh Battery,Qualcomm Snapdragon 855 Octa Core 2.8 GHz Processor,0
268,"OPPO F11 (Fluorite Purple, 128 GB)",12990.0,40% off,4.4,"61,893 Ratings "," 6,348 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Display,48MP + 5MP | 16MP Front Camera,4020 mAh Battery,MTK MT6771V (P70) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
269,"Nokia 4.2 (Black, 32 GB)",12999.0,,4.2,340 Ratings , 39 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 400 GB,14.5 cm (5.71 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories Excluding Battery
270,"Black Shark 2 (Shadow Black, 128 GB)",29999.0,34% off,4.5,378 Ratings , 74 Reviews,6 GB RAM | 128 GB ROM |,16.23 cm (6.39 inch) Display,48MP + 12MP | 20MP Front Camera,4000 mAh Battery,SM855 (Qualcomm Snapdragon Premium Tier) Processor,Brand Warranty of 1 Year Available for Mobile
271,"Black Shark 2 (Frozen Silver, 256 GB)",39999.0,33% off,4.5,177 Ratings , 28 Reviews,12 GB RAM | 256 GB ROM |,16.23 cm (6.39 inch) Display,48MP + 12MP | 20MP Front Camera,4000 mAh Battery,SM855 (Qualcomm Snapdragon Premium Tier) Processor,Brand Warranty of 1 Year Available for Mobile
272,"Redmi Y3 (Bold Red, 64 GB)",10495.0,25% off,4.4,"2,306 Ratings ", 179 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
273,"Asus 6Z (Silver, 128 GB)",30999.0,20% off,4.3,"4,579 Ratings ", 923 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP | 48MP + 13MP Dual Front Camera,5000 mAh Battery,Qualcomm SD 855 Processor,Flip Camera
274,"Asus 6Z (Black, 64 GB)",27999.0,22% off,4.3,"4,579 Ratings ", 923 Reviews,6 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP | 48MP + 13MP Dual Front Camera,5000 mAh Battery,Qualcomm SD 855 Processor,Flip Camera
275,"Honor 20 (Sapphire Blue, 128 GB)",22999.0,36% off,4.4,956 Ratings , 162 Reviews,6 GB RAM | 128 GB ROM |,15.9 cm (6.26 inch) Display,48MP + 2MP + 16MP | 32MP Front Camera,3750 mAh Battery,HiSilicon Kirin 980 Processor,"Brand Warranty of 1 Year Available for Mobile, 6 Months for Battery, 3 Months for Adapter and Data Cable"
276,"OPPO F11 (Marble Green, 128 GB)",12990.0,40% off,4.4,"61,893 Ratings "," 6,348 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Display,48MP + 5MP | 16MP Front Camera,4020 mAh Battery,MTK MT6771V (P70) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
277,"Honor 20 (Midnight Black, 128 GB)",22999.0,36% off,4.4,956 Ratings , 162 Reviews,6 GB RAM | 128 GB ROM |,15.9 cm (6.26 inch) Display,48MP + 2MP + 16MP | 32MP Front Camera,3750 mAh Battery,HiSilicon Kirin 980 Processor,"Brand Warranty of 1 Year Available for Mobile, 6 Months for Battery, 3 Months for Adapter and Data Cable"
278,"OPPO F11 Pro (Aurora Green, 128 GB)",16990.0,43% off,4.4,"97,270 Ratings "," 9,398 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 5MP | 16MP Front Camera,4000 mAh Li-polymer Battery,MediaTek Helio P70 Octa Core 2.1 GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
279,"OPPO A3s (Purple, 64 GB)",10899.0,31% off,4.3,"15,277 Ratings "," 1,262 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4230 mAh Battery,Qualcomm Snapdragon 450 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
280,"OPPO F11 Pro (Thunder Black, 128 GB)",16990.0,43% off,4.4,"97,270 Ratings "," 9,398 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 5MP | 16MP Front Camera,4000 mAh Li-polymer Battery,MediaTek Helio P70 Octa Core 2.1 GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
281,"OPPO A3s (Red, 64 GB)",13900.0,,4.3,"15,277 Ratings "," 1,262 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4230 mAh Battery,Qualcomm Snapdragon 450 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
282,"Redmi Y3 (Prime Black, 32 GB)",10899.0,9% off,4.3,"15,979 Ratings "," 1,245 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
283,"Redmi Y3 (Elegant Blue, 32 GB)",10999.0,8% off,4.3,"15,979 Ratings "," 1,245 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
284,"Redmi Y3 (Prime Black, 64 GB)",10499.0,25% off,4.4,"2,306 Ratings ", 179 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
285,"Redmi Y3 (Elegant Blue, 64 GB)",10400.0,25% off,4.4,"2,306 Ratings ", 179 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
286,"Redmi 7 (Lunar Red, 32 GB)",10999.0,,4.4,"5,841 Ratings ", 438 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
287,"Vivo Y91 (Nebula Purple, 32 GB)",10500.0,,4.4,"11,945 Ratings ", 868 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4030 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
288,"Vivo Y15 (Burgundy Red, 64 GB)",,,4.4,"12,027 Ratings ", 911 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 2MP + 8MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio P22 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
289,"Vivo Y15 (Aqua Blue, 64 GB)",,,4.4,"12,027 Ratings ", 911 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 2MP + 8MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio P22 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
290,"Tecno Camon i4 (Champagne Gold, 64 GB)",,,4.3,78 Ratings , 8 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 8MP | 16MP Front Camera,3500 mAh Battery,0,"Tecno 111 Promise: One Time Screen Replacement. 100 days Replacement, (12+1) year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase."
291,"Google Pixel 3a (Clearly White, 64 GB)",,,4.5,"3,682 Ratings ", 597 Reviews,4 GB RAM | 64 GB ROM |,14.22 cm (5.6 inch) Full HD+ Display,12.2MP Rear Camera | 8MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon 670 Processor,0
292,"Google Pixel 3a (Just Black, 64 GB)",,,4.5,"3,682 Ratings ", 597 Reviews,4 GB RAM | 64 GB ROM |,14.22 cm (5.6 inch) Full HD+ Display,12.2MP Rear Camera | 8MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon 670 Processor,0
293,"Samsung Galaxy M30 (Gradation Black, 64 GB)",,,4.4,"2,939 Ratings ", 222 Reviews,4 GB RAM | 64 GB ROM |,16.26 cm (6.4 inch) Display,13MP Rear Camera,5000 mAh Battery,0,12 Months
294,"Samsung Galaxy A20 (Deep Blue, 32 GB)",,,4.3,"14,590 Ratings "," 1,295 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) HD+ Display,13MP + 5MP | 8MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 7884B Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
295,"Samsung Galaxy A20 (Black, 32 GB)",,,4.3,"14,590 Ratings "," 1,295 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) HD+ Display,13MP + 5MP | 8MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 7884B Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
296,"Samsung Galaxy A70 (White, 128 GB)",,,4.4,"4,206 Ratings ", 515 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,17.02 cm (6.7 inch) Full HD+ Display,32MP + 5MP + 8MP | 32MP Front Camera,4500 mAh Lithium-ion Battery,"Octa core (2 GHz, Dual core, Kryo 460 + 1.7 GHz, Hexa Core, Kryo 460) Processor",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
297,"Tecno Camon i4 (Nebula Black, 64 GB)",,,4.3,78 Ratings , 8 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 8MP | 16MP Front Camera,3500 mAh Battery,0,"Tecno 111 Promise: One Time Screen Replacement. 100 days Replacement, (12+1) year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase."
298,"Tecno Camon i4 (Aqua Blue, 32 GB)",,,4.1,117 Ratings , 11 Reviews,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 8MP | 16MP Front Camera,3500 mAh Battery,0,"Tecno 111 Promise: One Time Screen Replacement. 100 days Replacement, (12+1) year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase."
299,"Samsung Galaxy M20 (Ocean Blue, 32 GB)",,,4.3,"1,853 Ratings ", 142 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 512 MB,16.0 cm (6.3 inch) Full HD+ Display,5MP Rear Camera | 8MP + 8MP Dual Front Camera,5000 mAh Battery,0,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
300,"Tecno Camon i4 (Midnight Black, 64 GB)",,,4.3,78 Ratings , 8 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 8MP | 16MP Front Camera,3500 mAh Battery,0,"Tecno 111 Promise: One Time Screen Replacement. 100 days Replacement, (12+1) year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase."
