,Model Name,Price,Discount,Avg Rating,Rating Count,Review Count,Memory Details,Screen Dimention,Lens Detail,Battery Capacity,Processor,Warranty
0,"Samsung Galaxy A30s (Prism Crush Black, 128 GB)",15999.0,19% off,4.3,"1,853 Ratings ", 143 Reviews,4 GB RAM | 128 GB ROM |,16.26 cm (6.4 inch) HD+ Display,25MP + 5MP + 8MP | 16MP Front Camera,4000 mAh Li-ion Battery,Exynos 7904 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
1,"Samsung Galaxy A30s (Prism Crush White, 128 GB)",15990.0,19% off,4.3,"1,853 Ratings ", 143 Reviews,4 GB RAM | 128 GB ROM |,16.26 cm (6.4 inch) HD+ Display,25MP + 5MP + 8MP | 16MP Front Camera,4000 mAh Li-ion Battery,Exynos 7904 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
2,"Samsung Galaxy M40 (COCKTAIL ORANGE, 128 GB)",18499.0,13% off,4.1,306 Ratings , 29 Reviews,6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Display,32MP Rear Camera,3500 mAh Battery,,1 YEAR
3,"Nokia 5.1 Plus (Black, Blue, 64 GB)",10399.0,43% off,,,,6 GB RAM | 64 GB ROM |,14.73 cm (5.8 inch) Display,13MP Rear Camera,3060 mAh Battery,,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4,"Nokia 6.2 (Ice White, 64 GB)",13990.0,20% off,4.4,28 Ratings , 3 Reviews,4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,16MP + 5MP + 8MP | 8MP Front Camera,3500 mAh Battery,,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
5,"Vivo S1 Pro (Mystic Black, 128 GB)",19990.0,4% off,4.6,255 Ratings , 26 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.21 cm (6.38 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,4500 mAh Lithium Polymer Battery,Qualcomm Snapdragon 665 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
6,"Redmi Note 8 (Cosmic Purple, 128 GB)",14000.0,12% off,4.5,"1,691 Ratings ", 139 Reviews,6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Display,48MP Rear Camera | 13MP Front Camera,4000 mAh Battery,,1 year
7,"Vivo S1 Pro (Dreamy White, 128 GB)",19990.0,4% off,4.6,255 Ratings , 26 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.21 cm (6.38 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,4500 mAh Lithium Polymer Battery,Qualcomm Snapdragon 665 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
8,"Vivo S1 Pro (Jazzy Blue, 128 GB)",19990.0,4% off,4.6,255 Ratings , 26 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.21 cm (6.38 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,4500 mAh Lithium Polymer Battery,Qualcomm Snapdragon 665 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
9,"LG W30 Pro (Midnight Blue, 64GB GB)",12500.0,21% off,,,,4 GB RAM | 64GB GB ROM |,15.77 cm (6.21 inch) Display,16MP Rear Camera,4050 mAh Battery,,1 year manufacturer warranty for device and 6 months manufacturer warranty for Accessories
10,"CAT S31 (Black, 16 GB)",29060.0,11% off,,,,2 GB RAM | 16 GB ROM |,11.94 cm (4.7 inch) Display,2MP Rear Camera,4000 mAh Battery,,one year
11,"Vivo U20 (Racing Black, 64 GB)",12279.0,5% off,4.3,201 Ratings , 21 Reviews,4 GB RAM | 64 GB ROM |,16.59 cm (6.53 inch) Display,16MP Rear Camera,5000 mAh Battery,,12 month
12,"Vivo U20 (Blaze Blue, 64 GB)",12279.0,5% off,4.3,201 Ratings , 21 Reviews,4 GB RAM | 64 GB ROM |,16.59 cm (6.53 inch) Display,16MP Rear Camera,5000 mAh Battery,,12 Months
13,"Redmi Note 8 (Cosmic Purple, 64 GB)",11691.0,10% off,4.4,"3,257 Ratings ", 267 Reviews,4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Display,48MP Rear Camera,4000 mAh Battery,,1 Year Warranty
14,"Realme X2 (Pearl Blue, 64 GB)",16999.0,5% off,4.5,"8,209 Ratings "," 1,118 Reviews",4 GB RAM | 64 GB ROM |,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 730G Processor,
15,"Realme X2 (Pearl Green, 128 GB)",18999.0,5% off,4.5,"5,983 Ratings ", 802 Reviews,6 GB RAM | 128 GB ROM |,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 730G Processor,
16,"Realme X2 (Pearl White, 64 GB)",16999.0,5% off,4.5,"8,209 Ratings "," 1,118 Reviews",4 GB RAM | 64 GB ROM |,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 730G Processor,
17,"Realme X2 (Pearl Blue, 128 GB)",18999.0,5% off,4.5,"5,983 Ratings ", 802 Reviews,6 GB RAM | 128 GB ROM |,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 730G Processor,
18,"Realme X2 (Pearl Green, 128 GB)",19999.0,4% off,4.5,"7,325 Ratings "," 1,023 Reviews",8 GB RAM | 128 GB ROM |,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 730G Processor,
19,"Realme X2 (Pearl Green, 64 GB)",16999.0,5% off,4.5,"8,209 Ratings "," 1,118 Reviews",4 GB RAM | 64 GB ROM |,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 730G Processor,
20,"Realme X2 (Pearl White, 128 GB)",19999.0,4% off,4.5,"7,325 Ratings "," 1,023 Reviews",8 GB RAM | 128 GB ROM |,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 730G Processor,
21,"Realme X2 (Pearl Blue, 128 GB)",19999.0,4% off,4.5,"7,325 Ratings "," 1,023 Reviews",8 GB RAM | 128 GB ROM |,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 730G Processor,
22,"OPPO A9 2020 (Vanilla Mint, 128 GB)",18490.0,15% off,4.3,"3,147 Ratings ", 281 Reviews,8 GB RAM | 128 GB ROM |,16.56 cm (6.52 inch) HD Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm SM6125 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
23,"Redmi Note 8 Pro (Electric Blue, 128 GB)",19700.0,1% off,4.5,667 Ratings , 70 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
24,"Vivo V17 (Glacier ice white, 128 GB)",22990.0,17% off,4.5,"2,005 Ratings ", 205 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.36 cm (6.44 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,4500 mAh Li-ion Battery,Qualcomm Snapdragon 675AIE Processor,0
25,"Tecno Spark Power (Alphenglow Gold, 64 GB)",10000.0,,4.3,"1,767 Ratings ", 243 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 8MP + 2MP AI Triple Rear Camera | 13MP Front Camera,6000 mAh Li-Polymer Battery,Mediatek Helio Processor,0
26,"Redmi Note 8 Pro (Electric Blue, 64 GB)",15562.0,8% off,4.5,"4,793 Ratings ", 387 Reviews,6 GB RAM | 64 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
27,"Tecno Spark Power (Dawn Blue, 64 GB)",11999.0,,4.3,"1,767 Ratings ", 243 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 8MP + 2MP AI Triple Rear Camera | 13MP Front Camera,6000 mAh Li-Polymer Battery,Mediatek Helio Processor,0
28,"Note 8 Pro (Electric Blue, 64 GB)",15446.0,9% off,4.4,40 Ratings , 0 Reviews,6 GB RAM | 64 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
29,"OPPO A9 2020 (Vanilla Mint, 128 GB)",18990.0,,4.3,"1,249 Ratings ", 122 Reviews,4 GB RAM | 128 GB ROM |,16.56 cm (6.52 inch) HD Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm SM6125 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
30,"Redmi Note 8 Pro (Electric Blue, 128 GB)",16590.0,7% off,4.5,"4,793 Ratings ", 387 Reviews,6 GB RAM | 128 GB ROM |,16.59 cm (6.53 inch) Display,64MP Rear Camera,4500 mAh Battery,,1 Year Brand Warranty
31,"Vivo V17 (Midnight Ocean Black, 128 GB)",22990.0,17% off,4.5,"2,005 Ratings ", 205 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.36 cm (6.44 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,4500 mAh Li-ion Battery,Qualcomm Snapdragon 675AIE Processor,0
32,"Note 8 Pro (Electric blue, 64 GB)",16499.0,2% off,4.4,40 Ratings , 0 Reviews,6 GB RAM | 64 GB ROM |,16.59 cm (6.53 inch) Display,64MP Rear Camera,4500 mAh Battery,,1 Year
33,"Redmi Note 8 (Neptune Blue, 64 GB)",11544.0,11% off,4.4,"3,257 Ratings ", 267 Reviews,4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
34,"Redmi Note 8 (Space Black, 64 GB)",10975.0,15% off,4.4,"3,257 Ratings ", 267 Reviews,4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
35,"Redmi Note 8 (Moonlight White, 64 GB)",11458.0,11% off,4.4,"3,257 Ratings ", 267 Reviews,4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
36,"Redmi Note 8 (Neptune Blue, 32 GB)",11900.0,,4.4,232 Ratings , 11 Reviews,3 GB RAM | 32 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
37,"Redmi Note 8 (Moonlight White, 128 GB)",13652.0,14% off,4.5,"1,691 Ratings ", 139 Reviews,6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
38,"Vivo Z1x (Phantom Purple, 128 GB)",14990.0,21% off,4.5,"5,057 Ratings ", 617 Reviews,4 GB RAM | 128 GB ROM |,16.21 cm (6.38 inch) Full HD+ Display,48MP + 8MP + 2MP | 32MP Front Camera,4500 mAh Li-ion Battery,Qualcomm Snapdragon 712 AIE Processor,0
39,"Realme X2 Pro (Lunar White, 128 GB)",29999.0,6% off,4.6,"4,276 Ratings ", 743 Reviews,8 GB RAM | 128 GB ROM |,16.51 cm (6.5 inch) Full HD+ Display,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 855 Plus Processor,0
40,"Redmi Note 8 (Neptune Blue, 128 GB)",13475.0,15% off,4.5,"1,691 Ratings ", 139 Reviews,6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
41,"Realme X2 Pro (Neptune Blue, 128 GB)",29999.0,6% off,4.6,"4,276 Ratings ", 743 Reviews,8 GB RAM | 128 GB ROM |,16.51 cm (6.5 inch) Full HD+ Display,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 855 Plus Processor,0
42,"Redmi Note 8 Pro (Shadow Black, 128 GB)",18776.0,6% off,4.5,667 Ratings , 70 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
43,"Realme X2 Pro (Lunar White, 256 GB)",33999.0,5% off,4.6,"2,345 Ratings ", 415 Reviews,12 GB RAM | 256 GB ROM |,16.51 cm (6.5 inch) Full HD+ Display,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 855 Plus Processor,0
44,"Redmi Note 8 Pro (Shadow Black, 64 GB)",15375.0,9% off,4.5,"4,793 Ratings ", 387 Reviews,6 GB RAM | 64 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
45,"Vivo Z1x (Fusion Blue, 128 GB)",14990.0,21% off,4.5,"5,057 Ratings ", 617 Reviews,4 GB RAM | 128 GB ROM |,16.21 cm (6.38 inch) Full HD+ Display,48MP + 8MP + 2MP | 32MP Front Camera,4500 mAh Li-ion Battery,Qualcomm Snapdragon 712 AIE Processor,0
46,"Realme X2 Pro (Concrete, 256 GB)",34999.0,2% off,4.6,"2,345 Ratings ", 415 Reviews,12 GB RAM | 256 GB ROM |,16.51 cm (6.5 inch) Full HD+ Display,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 855 Plus Processor,0
47,"Redmi Note 8 (Space Black, 128 GB)",13220.0,17% off,4.5,"1,691 Ratings ", 139 Reviews,6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
48,"Realme X2 Pro (Lunar White, 64 GB)",27999.0,6% off,4.2,15 Ratings , 1 Reviews,6 GB RAM | 64 GB ROM |,16.51 cm (6.5 inch) Full HD+ Display,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 855 Plus Processor,0
49,"Realme X2 Pro (Red Brick, 256 GB)",34999.0,2% off,4.6,"2,345 Ratings ", 415 Reviews,12 GB RAM | 256 GB ROM |,16.51 cm (6.5 inch) Full HD+ Display,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 855 Plus Processor,0
50,"Realme X2 Pro (Neptune Blue, 256 GB)",33999.0,5% off,4.6,"2,345 Ratings ", 415 Reviews,12 GB RAM | 256 GB ROM |,16.51 cm (6.5 inch) Full HD+ Display,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 855 Plus Processor,0
51,"Realme X2 Pro (Neptune Blue, 64 GB)",27999.0,6% off,4.2,15 Ratings , 1 Reviews,6 GB RAM | 64 GB ROM |,16.51 cm (6.5 inch) Full HD+ Display,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 855 Plus Processor,
52,"Vivo Y19 (Spring White, 128 GB)",13990.0,12% off,4.4,462 Ratings , 32 Reviews,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,16MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Li-ion Battery,Helio P65 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for In-box Accessories
53,"Vivo Y19 (Magnetic Black, 128 GB)",13990.0,12% off,4.4,462 Ratings , 32 Reviews,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,16MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Li-ion Battery,Helio P65 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for In-box Accessories
54,"Redmi Note 8 (Moonlight White, 32 GB)",11900.0,,4.4,232 Ratings , 11 Reviews,3 GB RAM | 32 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,0,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
55,"Redmi Note 8 Pro (Halo White, 128 GB)",16495.0,8% off,4.5,"4,793 Ratings ", 387 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,0,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
56,"Redmi Note 8 Pro (Halo White, 64 GB)",15378.0,9% off,4.5,"4,793 Ratings ", 387 Reviews,6 GB RAM | 64 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,0,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
57,"Vivo U10 (Thunder Black, 32 GB)",10199.0,7% off,4.4,512 Ratings , 53 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Li-ion Battery,Qualcomm Snapdragon 665 AIE Processor,0
58,"OnePlus 7T Pro (Haze Blue, 256 GB)",51978.0,3% off,4.6,70 Ratings , 6 Reviews,8 GB RAM | 256 GB ROM |,16.94 cm (6.67 inch) Quad HD+ Display,48MP +8MP+16MP | 16MP Dual Front Camera,4085 mAh Battery,"Qualcomm® Snapdragon™ 855 Plus (Octa-core, 7nm, up to 2.96 GHz) , with Qualcomm AI Engine Processor",1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
59,"Redmi Note 8 Pro (Gamma Green, 64 GB)",15699.0,7% off,4.5,"4,793 Ratings ", 387 Reviews,6 GB RAM | 64 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,0,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
60,"Redmi Note 8 Pro (Gamma Green, 128 GB)",16873.0,6% off,4.5,"4,793 Ratings ", 387 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,0,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
61,"Redmi Note 8 Pro (Halo White, 128 GB)",19185.0,4% off,4.5,667 Ratings , 70 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,0,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
62,"Redmi Note 8 Pro (Shadow Black, 128 GB)",16414.0,8% off,4.5,"4,793 Ratings ", 387 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,0,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
63,"Samsung Galaxy A20s (Black, 32 GB)",11999.0,6% off,4.3,433 Ratings , 32 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 8MP + 5MP | 8MP Front Camera,4000 mAh Lithium Ion Battery,Qualcomm SDM450-B01 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
64,"Apple iPhone 11 Pro (Space Grey, 256 GB)",113900.0,,4.7,861 Ratings , 79 Reviews,256 GB ROM |,14.73 cm (5.8 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,,A13 Bionic Chip Processor,Brand Warranty for 1 Year
65,"Apple iPhone 11 (White, 64 GB)",64900.0,,4.7,"6,444 Ratings ", 590 Reviews,64 GB ROM |,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,,A13 Bionic Chip Processor,Brand Warranty for 1 Year
66,"Nokia 6.2 (Black, 64 GB)",13890.0,21% off,4.4,28 Ratings , 3 Reviews,4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,16MP + 5MP + 8MP | 8MP Front Camera,3500 mAh Battery,0,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
67,"Samsung Galaxy M30 (Black, 32 GB)",10605.0,3% off,4.4,168 Ratings , 8 Reviews,3 GB RAM | 32 GB ROM |,16.26 cm (6.4 inch) Display,13MP Rear Camera,5000 mAh Battery,0,12 Months
68,"Apple iPhone 11 Pro Max (Midnight Green, 256 GB)",123900.0,,4.7,620 Ratings , 79 Reviews,256 GB ROM |,16.51 cm (6.5 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,,A13 Bionic Chip Processor,Brand Warranty for 1 Year
69,"Samsung Galaxy A20s (Black, 64 GB)",13999.0,6% off,4.3,385 Ratings , 25 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 8MP + 5MP | 8MP Front Camera,4000 mAh Lithium Ion Battery,Qualcomm SDM450-B01 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
70,"OnePlus 7 (Red, 256 GB)",32845.0,13% off,4.6,225 Ratings , 22 Reviews,8 GB RAM | 256 GB ROM |,16.28 cm (6.41 inch) Display,48 MP + 5 MP | 16MP Front Camera,3700 mAh Battery,0,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
71,"Samsung Galaxy M10S (Metallic Blue, 32 GB)",10000.0,,4.4,463 Ratings , 35 Reviews,3 GB RAM | 32 GB ROM |,16.26 cm (6.4 inch) Display,13MP Rear Camera,4000 mAh Battery,0,12 months
72,"Apple iPhone 11 Pro Max (Space Grey, 64 GB)",109900.0,,4.7,620 Ratings , 79 Reviews,64 GB ROM |,16.51 cm (6.5 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,,A13 Bionic Chip Processor,Brand Warranty for 1 Year
73,"OnePlus 7 (Mirror Blue, 128 GB)",30999.0,6% off,4.6,"1,953 Ratings ", 161 Reviews,6 GB RAM | 128 GB ROM |,16.28 cm (6.41 inch) Display,48 MP + 5 MP | 16MP Front Camera,3700 mAh Battery,0,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
74,"OnePlus 7 (Mirror Grey, 256 GB)",33999.0,10% off,4.6,225 Ratings , 22 Reviews,8 GB RAM | 256 GB ROM |,16.28 cm (6.41 inch) Display,48 MP + 5 MP | 16MP Front Camera,3700 mAh Battery,0,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
75,"OnePlus 7 (Mirror Grey, 128 GB)",29950.0,9% off,4.6,"1,953 Ratings ", 161 Reviews,6 GB RAM | 128 GB ROM |,16.28 cm (6.41 inch) Display,48 MP + 5 MP | 16MP Front Camera,3700 mAh Battery,0,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
76,"OPPO A5 2020 (Dazzling White, 64 GB)",11490.0,23% off,4.4,585 Ratings , 56 Reviews,3 GB RAM | 64 GB ROM |,16.51 cm (6.5 inch) Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
77,"OPPO A5 2020 (Mirror Black, 64 GB)",11490.0,23% off,4.4,585 Ratings , 56 Reviews,3 GB RAM | 64 GB ROM |,16.51 cm (6.5 inch) Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
78,"Samsung Galaxy A70s (Prism Crush Black, 128 GB)",25999.0,16% off,4.2,296 Ratings , 44 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,17.02 cm (6.7 inch) Full HD+ Display,64MP + 5MP + 8MP | 32MP Front Camera,4500 mAh Lithium Ion Battery,Qualcomm SM6150 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
79,"Samsung Galaxy M30s (Black, 64 GB)",17490.0,2% off,4.3,683 Ratings , 62 Reviews,4 GB RAM | 64 GB ROM |,16.26 cm (6.4 Inches) Display,48MP Rear Camera,6000 mAH Battery,0,Twelve Months
80,"Apple iPhone 11 (Purple, 64 GB)",64900.0,,4.7,"6,444 Ratings ", 590 Reviews,64 GB ROM |,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,,A13 Bionic Chip Processor,Brand Warranty for 1 Year
81,"Samsung Galaxy A70s (Prism Crush Red, 128 GB)",25999.0,16% off,4.2,296 Ratings , 44 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,17.02 cm (6.7 inch) Full HD+ Display,64MP + 5MP + 8MP | 32MP Front Camera,4500 mAh Lithium Ion Battery,Qualcomm SM6150 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
82,"Leagoo S8 (Dazzle Black, 32 GB)",10999.0,21% off,,,,3 GB RAM | 32 GB ROM |,14.53 cm (5.72 inch) Display,13MP Rear Camera,2940 mAh Battery,0,1 Year Warranty
83,"Huawei P30 Pro (Breathing Crystal, 256 GB)",79990.0,,4.3,14 Ratings , 2 Reviews,8 GB RAM | 256 GB ROM | Expandable Upto 256 GB,16.43 cm (6.47 inch) Display,40MP + 20MP + 8MP,4200 mAh Battery,0,12 Months
84,"Apple iPhone 11 (Yellow, 128 GB)",69900.0,,4.7,"6,444 Ratings ", 590 Reviews,128 GB ROM |,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,,A13 Bionic Chip Processor,Brand Warranty for 1 Year
